Row,sub_id,skin,skull,brain,brain_inner,targetL,targetR,ROItarget_L_max,ROItarget_R_max,ROItarget_L_avg,ROItarget_R_avg
pressure_L+z--r_R+z--r_all_phases,1,1.091085,1.029412,0.7371599,0.7371599,0.04937287,0.2350842,0.1173622,0.2962396,0.05985776,0.1607972
intensity_L+z--r_R+z--r_all_phases,1,35.29919,18.50459,16.66025,16.66025,0.07965834,1.704794,0.4258102,2.699977,0.1243397,0.9252614
mechanicalindex_L+z--r_R+z--r_all_phases,1,1.99204,1.87944,1.345864,1.345864,0.09014212,0.429203,0.214273,0.540857,0.1092848,0.2935741
pressure_L+z--l_R+z--l_all_phases,1,3.228025,3.162058,1.841641,1.841641,0.1376095,0.816827,0.3206474,0.8427016,0.1820349,0.5236228
intensity_L+z--l_R+z--l_all_phases,1,284.5981,128.8605,104.5539,104.5539,0.6507542,20.53624,3.265718,21.79676,1.169038,9.264991
mechanicalindex_L+z--l_R+z--l_all_phases,1,5.893541,5.773102,3.36236,3.36236,0.2512394,1.491315,0.5854194,1.538556,0.3323488,0.956
