Row,sub_id,skin,skull,brain,brain_inner,targetL,targetR,ROItarget_L_max,ROItarget_R_max,ROItarget_L_avg,ROItarget_R_avg
pressure_L+z--r_R+z--r_all_phases,5,1.938356,0.9549518,0.851169,0.8447919,0.03763716,0.1669708,0.0708995,0.3879572,0.03123827,0.2297227
intensity_L+z--r_R+z--r_all_phases,5,106.8865,18.41045,22.3381,22.00432,0.04366982,0.8488849,0.1546781,4.65451,0.03547994,1.830245
mechanicalindex_L+z--r_R+z--r_all_phases,5,3.538938,1.743496,1.554015,1.542372,0.06871575,0.3048457,0.1294442,0.7083097,0.05703302,0.4194144
pressure_L+z--l_R+z--l_all_phases,5,3.16515,3.587328,1.902791,1.902791,0.4305742,0.4601714,0.5639332,0.7735969,0.3494242,0.497254
intensity_L+z--l_R+z--l_all_phases,5,261.3488,164.4439,111.6494,111.6494,5.728478,6.586117,9.750369,18.32953,4.043347,8.006428
mechanicalindex_L+z--l_R+z--l_all_phases,5,5.778747,6.549536,3.474004,3.474004,0.7861174,0.8401541,1.029596,1.412388,0.6379586,0.9078576
