Row,sub_id,skin,skull,brain,brain_inner,targetL,targetR,ROItarget_L_max,ROItarget_R_max,ROItarget_L_avg,ROItarget_R_avg
pressure_L+z--r_R+z--r_all_phases,4,1.335277,0.814439,0.9551831,0.9551831,0.09788366,0.1444349,0.1467968,0.2937857,0.06141272,0.1592172
intensity_L+z--r_R+z--r_all_phases,4,50.30119,14.86093,28.05627,28.05627,0.319075,0.6742496,0.6636312,2.646816,0.1531427,0.8735114
mechanicalindex_L+z--r_R+z--r_all_phases,4,2.437871,1.486955,1.743918,1.743918,0.1787103,0.2637008,0.268013,0.5363768,0.1121238,0.2906896
pressure_L+z--l_R+z--l_all_phases,4,3.675591,3.917062,2.506397,2.506397,0.3819368,0.4455973,0.5184022,1.16626,0.2679348,0.4533524
intensity_L+z--l_R+z--l_all_phases,4,391.4369,460.5816,193.9863,193.9863,4.870019,6.140796,8.300982,41.96707,2.575094,7.520905
mechanicalindex_L+z--l_R+z--l_all_phases,4,6.71068,7.151544,4.576035,4.576035,0.6973181,0.8135456,0.9464686,2.129289,0.4891798,0.8277046
