Row,sub_id,skin,skull,brain,brain_inner,targetL,targetR,ROItarget_L_max,ROItarget_R_max,ROItarget_L_avg,ROItarget_R_avg
pressure_L+z--r_R+z--r_all_phases,2,1.553007,0.6286414,0.8698493,0.8698493,0.03102623,0.2957024,0.05301922,0.3262977,0.02969111,0.1837028
intensity_L+z--r_R+z--r_all_phases,2,70.74889,13.7831,23.40465,23.40465,0.03233467,2.684584,0.09434323,3.292722,0.03048551,1.196302
mechanicalindex_L+z--r_R+z--r_all_phases,2,2.835391,1.147737,1.58812,1.58812,0.05664588,0.5398762,0.09679942,0.5957354,0.05420829,0.335394
pressure_L+z--l_R+z--l_all_phases,2,3.595382,2.664571,1.888381,1.888381,0.3065225,0.8053437,0.4915951,1.045749,0.2902782,0.5582696
intensity_L+z--l_R+z--l_all_phases,2,365.5913,195.2606,110.2814,110.2814,3.313951,20.28493,7.405037,33.49148,3.074296,11.35083
mechanicalindex_L+z--l_R+z--l_all_phases,2,6.56424,4.864819,3.447696,3.447696,0.5596311,1.47035,0.8975258,1.909267,0.5299731,1.019256
