Row,sub_id,skin,skull,brain,brain_inner,targetL,targetR,ROItarget_L_max,ROItarget_R_max,ROItarget_L_avg,ROItarget_R_avg
pressure__L+y--l_R+y--l_,6,1.096484,0.7033992,0.6092237,0.6092237,0.2044875,0.4489217,0.6092237,0.4846748,0.3382792,0.2701806
intensity__L+y--l_R+y--l_,6,34.15435,13.46177,11.46886,11.46886,1.360127,6.181673,11.46886,7.217107,4.145239,2.619414
mechanicalindex__L+y--l_R+y--l_,6,2.001898,1.284225,1.112285,1.112285,0.3733415,0.8196152,1.112285,0.884891,0.6176105,0.4932801
pressure__L+y--l_R+y--r_var1,6,1.057017,0.7114854,0.5271095,0.5271095,0.2132326,0.3776026,0.5054874,0.4568045,0.3253865,0.2756528
intensity__L+y--l_R+y--r_var1,6,31.7835,14.77592,8.683572,8.683572,1.322822,4.432271,7.876241,6.383006,3.609192,2.618096
mechanicalindex__L+y--l_R+y--r_var1,6,1.92984,1.298989,0.9623659,0.9623659,0.3893076,0.6894049,0.9228895,0.8340071,0.5940716,0.5032709
pressure__L+y--l_R+y--r_var3,6,1.132036,0.6749796,0.5111773,0.5096475,0.1826643,0.3548411,0.4775752,0.4768893,0.2485846,0.2429533
intensity__L+y--l_R+y--r_var3,6,36.43628,13.37383,8.027631,8.027631,1.006797,3.883077,7.035496,7.021967,2.253264,2.060238
mechanicalindex__L+y--l_R+y--r_var3,6,2.066806,1.232338,0.9332778,0.9304847,0.3334979,0.6478482,0.8719289,0.8706767,0.4538513,0.44357
pressure__L+y--l_R+y--r_var5,6,1.052474,0.6940766,0.5252513,0.5252513,0.1534529,0.4328408,0.4715812,0.4953188,0.2724658,0.2801986
intensity__L+y--l_R+y--r_var5,6,31.50511,13.79649,8.523197,8.523197,0.6969977,5.806154,6.843843,7.512705,2.610506,2.792155
mechanicalindex__L+y--l_R+y--r_var5,6,1.921546,1.267205,0.9589732,0.9589732,0.2801654,0.7902555,0.8609854,0.9043242,0.4974521,0.5115703
pressure__L+y--l_R+y--r_,6,1.089724,0.6924545,0.561318,0.561318,0.1983263,0.4675496,0.5514363,0.4987927,0.3243831,0.2840998
intensity__L+y--l_R+y--r_,6,33.73511,13.39866,9.736901,9.736901,1.128419,6.700905,9.400931,7.619411,3.701277,2.893016
mechanicalindex__L+y--l_R+y--r_,6,1.989554,1.264243,1.024822,1.024822,0.3620926,0.8536249,1.006781,0.9106668,0.5922397,0.518693
pressure__L+y--l_R+y--l_var1,6,1.061652,0.6943612,0.5849285,0.5849285,0.1876713,0.4040745,0.5393882,0.4424459,0.3357236,0.2658005
intensity__L+y--l_R+y--l_var1,6,32.06292,14.09259,10.46353,10.46353,1.006378,5.062035,8.995173,5.987771,3.955059,2.46412
mechanicalindex__L+y--l_R+y--l_var1,6,1.938303,1.267724,1.067928,1.067928,0.3426393,0.7377358,0.9847836,0.8077921,0.6129446,0.4852831
pressure__L+y--l_R+y--l_var3,6,1.137197,0.675363,0.5541777,0.5541777,0.2094452,0.3361833,0.4940228,0.4531732,0.2511115,0.2295353
intensity__L+y--l_R+y--l_var3,6,36.76963,13.13955,9.48594,9.48594,1.378435,3.492952,7.473084,6.345258,2.313214,1.862566
mechanicalindex__L+y--l_R+y--l_var3,6,2.076229,1.233039,1.011785,1.011785,0.3823928,0.6137839,0.901958,0.8273773,0.4584648,0.4190722
pressure__L+y--l_R+y--l_var5,6,1.055579,0.6956212,0.5305184,0.5305184,0.09520223,0.4469496,0.5016872,0.496886,0.3030655,0.2811807
intensity__L+y--l_R+y--l_var5,6,31.69156,13.83891,8.607704,8.607704,0.3161679,6.184383,7.72095,7.630965,3.266484,2.812079
mechanicalindex__L+y--l_R+y--l_var5,6,1.927215,1.270025,0.9685896,0.9685896,0.1738147,0.8160146,0.9159513,0.9071855,0.5533193,0.5133634
pressure__L+y--r_R+y--r_,6,0.7762396,0.4747699,0.5965234,0.5965234,0.1854212,0.4931468,0.5230712,0.5590683,0.3333005,0.3065031
intensity__L+y--r_R+y--r_,6,17.11895,7.241894,10.98268,10.98268,0.9377828,7.429523,8.436017,9.560359,3.822024,3.542031
mechanicalindex__L+y--r_R+y--r_,6,1.417213,0.8668073,1.089098,1.089098,0.3385313,0.9003587,0.9549929,1.020714,0.6085207,0.5595956
pressure__L+y--r_R+y--r_var1,6,0.7354216,0.4782896,0.5638437,0.5638437,0.2021322,0.3635431,0.4893385,0.54777,0.3075341,0.3022324
intensity__L+y--r_R+y--r_var1,6,15.34935,6.652018,10.37521,10.37521,1.233197,4.074077,7.393042,9.200972,3.180218,3.36093
mechanicalindex__L+y--r_R+y--r_var1,6,1.34269,0.8732333,1.029433,1.029433,0.3690412,0.6637357,0.8934057,1.000087,0.5614778,0.5517982
pressure__L+y--r_R+y--r_var3,6,0.7216002,0.5362872,0.5607604,0.5607604,0.1812994,0.4021263,0.4747506,0.5112123,0.2872543,0.2553151
intensity__L+y--r_R+y--r_var3,6,14.79125,6.719664,9.696008,9.696008,1.003708,5.005709,6.979373,8.097987,2.814768,2.443631
mechanicalindex__L+y--r_R+y--r_var3,6,1.317456,0.979122,1.023804,1.023804,0.3310059,0.7341789,0.8667721,0.9333419,0.5244521,0.4661395
pressure__L+y--r_R+y--r_var5,6,0.7182044,0.6127975,0.5853902,0.5853902,0.2397924,0.4165979,0.5022371,0.5827016,0.3091387,0.3298598
intensity__L+y--r_R+y--r_var5,6,14.69027,10.49171,10.51999,10.51999,1.828174,5.334147,7.789184,10.39478,3.258741,4.103805
mechanicalindex__L+y--r_R+y--r_var5,6,1.311256,1.11881,1.068771,1.068771,0.4377991,0.7606001,0.9169554,1.063863,0.5644075,0.6022387
