,sub-001,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-010,sub-002
stim_pressure_max_scalp,4.997583,0.9117846,5.356559,5.578276,9.17138,7.002735,2.43349,5.296606,
stim_pressure_max_target,0.7288899,0.2358176,0.9850456,0.9155707,1.210267,0.6560376,0.9005793,1.292844,
stim_pressure_max_offtarget,1.942343,0.8075688,2.745081,2.53328,4.311565,4.028129,2.299662,2.279489,
stim_pressure_avg_target,0.4645438,0.1156881,0.4794173,0.4757324,0.6603867,0.2456882,0.2640362,0.6084,
stim_pressure_avg_scalp,0.150959,0.05090111,0.1484081,0.169644,0.271303,0.2248805,0.1199917,0.139975,
stim_pressure_avg_offtarget,0.2063982,0.08075549,0.2245944,0.240552,0.3621748,0.3195966,0.1827932,0.2193664,
stim_pressure_95_brain,0.5141678,0.2034859,0.6069304,0.634299,0.886763,0.7762709,0.5182711,0.5823832,
stim_pressure_95_scalp,0.6645749,0.2267862,0.7497932,0.8180197,1.390721,1.15697,0.5592048,0.6785237,
stim_mechanicalindex_max_whole,9.166409,2.551197,9.800023,10.18449,16.74457,12.78519,4.462215,9.670236,
stim_mechanicalindex_max_brain,3.546217,1.474412,5.011809,4.625115,7.871805,7.354323,4.198589,4.161757,
stim_mechanicalindex_max_scalp,9.124296,1.664683,9.779695,10.18449,16.74457,12.78519,4.442924,9.670236,
stim_FWHM_in_ROI_perc,0.2699176,0.1305024,0.1912533,0.1607145,0.2629589,0.1767854,0.075312,0.2102845,
stim_pressure_max_FW,3.934085,1.401678,5.442132,5.349189,9.773648,7.81958,3.901788,4.881606,
stim_intensity_max_FW,519.015,65.88532,993.1858,959.5514,3203.36,2050.497,510.5281,799.1307,
stim_mechanicalindex_max_FW,7.182624,2.559102,9.935928,9.766238,17.84416,14.27654,7.123658,8.912553,
sham_pressure_max_brain,0.2515428,0.2458259,0.191829,0.1658396,0.2727864,0.2738863,0.2394396,0.2252668,0.1842922
sham_pressure_max_scalp,0.6653934,1.203208,1.263582,1.432432,0.67307,1.299698,1.181088,1.347281,1.402591
sham_pressure_max_target,0.111357,0.114927,0.1131556,0.07825071,0.1018467,0.06176697,0.1193427,0.1231113,0.1431796
sham_pressure_max_offtarget,0.2515428,0.2458259,0.191829,0.1658396,0.2727864,0.2738863,0.2394396,0.2252668,0.1842922
sham_pressure_avg_target,0.05405138,0.06267342,0.04694349,0.03660554,0.05086718,0.0222051,0.05540448,0.06681814,0.06731237
sham_pressure_avg_scalp,0.02620503,0.02482944,0.02515977,0.02494069,0.02645277,0.02375162,0.02442465,0.02275406,0.02219619
sham_pressure_avg_offtarget,0.03207762,0.02734141,0.03003716,0.02787583,0.04071752,0.02969363,0.03301299,0.0303143,0.02868614
sham_pressure_95_brain,0.07965775,0.08400057,0.06918627,0.06738868,0.1008206,0.07842103,0.09323633,0.07680678,0.08281074
sham_pressure_95_scalp,0.1207205,0.1043649,0.120184,0.1155447,0.1201573,0.109487,0.1128753,0.09947865,0.109787
sham_mechanicalindex_max_whole,1.458047,2.196748,2.306975,2.674883,1.228852,2.410566,2.156362,2.459788,2.56077
sham_mechanicalindex_max_brain,0.4592523,0.4488147,0.3502302,0.3027804,0.4980376,0.5000457,0.4371549,0.411279,0.3364699
sham_mechanicalindex_max_scalp,1.214836,2.196748,2.306975,2.615251,1.228852,2.372913,2.156362,2.459788,2.56077
sham_FWHM_in_ROI_perc,0.1841527,0.362185,0.2717266,0.1067473,0.1405529,0.0,0.3050852,0.1170275,0.02869372
sham_pressure_max_FW,0.8019344,1.183334,1.103572,1.246353,0.6074229,1.119973,1.108234,1.1564,1.142499
sham_intensity_max_FW,21.56602,46.9577,40.84077,52.09238,12.37299,42.06368,41.18654,44.84444,43.77274
sham_mechanicalindex_max_FW,1.464125,2.160462,2.014838,2.275518,1.108997,2.044781,2.023349,2.111288,2.085907
