,Focal depths wrt exit plane (mm),,,,,,,,,,
Distance WRT Exit plane (mm),11.81,15,20,23.19,25,30,45,60,75,90,94.63
0,1.2672087,1.385824776,0.404082947,0.098958051,0.029984302,0.048775413,0.005624428,0.055956393,0.036255199,0.012897505,0.021978342
0.5,1.598703559,1.543344697,0.395812204,0.103231079,0.035112041,0.044745238,0.020233016,0.065994192,0.063916456,0.043642499,0.055879519
1,1.92662606,1.730717981,0.387898208,0.105020655,0.039156415,0.042611849,0.04186779,0.077092624,0.095911146,0.088560918,0.102002535
1.5,2.202084461,1.959014546,0.385205601,0.104195484,0.04140124,0.043271701,0.066736363,0.089661154,0.127997141,0.14046697,0.154690273
2,2.377941611,2.231162291,0.394333465,0.102102119,0.041712763,0.047197289,0.090482905,0.104219976,0.156711768,0.191340348,0.207284484
2.5,2.422476991,2.535614779,0.423277264,0.101396865,0.040701551,0.054361452,0.109540005,0.121253147,0.180678236,0.234815813,0.253856563
3,2.331863581,2.842577709,0.48116684,0.105621705,0.039636775,0.064004737,0.122132091,0.141003746,0.20087548,0.267851177,0.290745209
3.5,2.135679175,3.105766356,0.577845421,0.119047256,0.040248005,0.074430328,0.12860254,0.163239716,0.219966669,0.291089178,0.317390085
4,1.890141716,3.270457852,0.722298102,0.146940007,0.044670919,0.083142035,0.130998934,0.18700823,0.241157993,0.307977962,0.336127695
4.5,1.660773743,3.286146113,0.919057312,0.195746238,0.055724088,0.087480137,0.132193551,0.210454271,0.267034592,0.323163845,0.35103299
5,1.505127127,3.121754761,1.163207925,0.272347986,0.077383594,0.08560897,0.135033392,0.230901757,0.298638007,0.340887045,0.366392152
5.5,1.466951572,2.780866256,1.436857556,0.38206204,0.114946034,0.077443361,0.141880429,0.245421294,0.33497743,0.363959693,0.385535689
6,1.583852592,2.310554433,1.710714423,0.526184526,0.174366273,0.064957449,0.154539642,0.25184815,0.373192163,0.393489622,0.410395745
6.5,1.900100878,1.79419241,1.95166943,0.700469489,0.26072443,0.05150543,0.17429997,0.24976779,0.409412717,0.429127442,0.441619465
7,2.472887101,1.325244681,2.132610938,0.895184211,0.376250075,0.040449678,0.201796719,0.240817648,0.439935892,0.469437415,0.478787587
7.5,3.364183718,0.975096623,2.239167123,1.096270471,0.518484351,0.034086266,0.236606267,0.228086623,0.462113273,0.512111217,0.520434872
8,4.618411133,0.777867627,2.271447838,1.287189488,0.679287311,0.033732978,0.27679559,0.215050491,0.474694479,0.554118959,0.564013555
8.5,6.235681824,0.745362657,2.242699507,1.451850293,0.845605981,0.040782539,0.318870323,0.20468831,0.477836397,0.592157648,0.606237607
9,8.155705723,0.90189136,2.176880863,1.578760807,1.002505803,0.057545587,0.358426675,0.199085733,0.473012079,0.623523495,0.643988185
9.5,10.26143511,1.31134732,2.105217062,1.66493379,1.137560045,0.086857014,0.391309401,0.199413571,0.462740914,0.64695583,0.675315796
10,12.39774389,2.07245891,2.0616429,1.71731173,1.244507812,0.130539683,0.414679942,0.206024743,0.449987536,0.662787817,0.699792592
10.5,14.39396694,3.280293149,2.078769239,1.751068605,1.324654801,0.187812712,0.427545837,0.218525568,0.437390503,0.67229114,0.71799904
11,16.08566205,4.975968275,2.186466669,1.786437658,1.386248148,0.254831223,0.430769879,0.235852606,0.426739245,0.676825126,0.730718926
11.5,17.33764327,7.114644859,2.413199793,1.846206632,1.44305574,0.325841393,0.426791917,0.256468063,0.418960367,0.677469683,0.738561599
12,18.06562444,9.568855437,2.787949089,1.954640136,1.512943404,0.395445089,0.419160419,0.278705988,0.414483463,0.675232928,0.742161611
12.5,18.24599179,12.1606528,3.339963915,2.137207399,1.616539427,0.460808571,0.411876186,0.301146072,0.413621122,0.671401138,0.742542629
