0,13.65
2,15.26
4,16.87
6,18.47
8,12.88
10,5.63
12,1.59
14,0.49
16,0.53
18,1.07
20,1.62
22,2.07
24,2.85
26,3.78
28,4.57
30,6.16
32,8.77
34,11.3
36,14.1
38,17.53
40,20.38
42,22.93
44,25.5
46,27.19
48,28.43
50,29.52
52,30.02
54,30.15
56,30.07
58,29.64
60,28.94
62,28.13
64,27.11
66,25.92
68,24.82
70,23.67
72,22.37
74,21.15
76,20.01
78,18.89
80,17.85
82,16.81
84,15.77
86,14.81
88,13.94
90,13.11
92,12.31
94,11.58
96,10.86
98,10.19
100,9.59
102,9.04
104,8.49
106,7.99
108,7.55
110,7.13
112,6.72
114,6.33
116,5.98
118,5.03
120,2.63
122,0.53
124,0.02
