,Focal depths wrt exit plane (mm),,,,,,,,,,,,
Distance WRT Exit plane (mm),7.05,10,13.35,15,19.65,20,25,30,45,60,75,90,93.92
0,2.73793083,4.138437185,1.333938864,0.544605939,0.070338022,0.075105532,0.105875635,0.074560051,0.229399049,0.192285751,0.300590971,0.555156578,0.632569893
0.5,2.727167732,3.157846072,1.414345578,0.630615452,0.049401423,0.054240898,0.153313331,0.093418917,0.255785296,0.204014293,0.258715913,0.484360636,0.557746639
1,2.812105015,2.289426587,1.482707826,0.72521394,0.034452562,0.03837776,0.205952995,0.11819414,0.280035761,0.223531271,0.227554507,0.421378858,0.489288476
1.5,3.094503168,1.565098943,1.528065676,0.829125951,0.026377279,0.028481286,0.257078134,0.152405206,0.29857636,0.256449755,0.21213331,0.370965028,0.431830093
2,3.666451373,1.015592589,1.53993035,0.938518566,0.025210704,0.024693026,0.298094141,0.198214581,0.307994021,0.305992556,0.215627313,0.33729927,0.389960291
2.5,4.60609231,0.652275495,1.511405001,1.04419838,0.031909768,0.027429941,0.320312635,0.254722658,0.305912438,0.371362535,0.240341569,0.323804902,0.367729845
3,5.960205315,0.461018375,1.44389966,1.134072211,0.04958999,0.038623076,0.317719345,0.316833189,0.292078942,0.446414675,0.287787578,0.333385375,0.368624069
3.5,7.720324744,0.42046413,1.35091819,1.198704745,0.083053579,0.062071069,0.289767311,0.375810592,0.269066323,0.520057922,0.357337166,0.368666765,0.395814548
4,9.808556883,0.53928299,1.257537304,1.237115123,0.136564443,0.102209722,0.242416842,0.42174232,0.241861238,0.579116272,0.444147788,0.431370558,0.451847625
4.5,12.07956292,0.886604983,1.195389382,1.259247693,0.211186559,0.161757419,0.186271233,0.446725982,0.216337968,0.612574928,0.537841153,0.520283206,0.536972863
5,14.33361397,1.586163414,1.197552148,1.284294126,0.303354957,0.239640538,0.132598129,0.44725242,0.197558436,0.615205813,0.623317426,0.628441407,0.646280581
5.5,16.33893626,2.767734666,1.298112079,1.337370916,0.405662896,0.330609659,0.08947542,0.425060375,0.188887513,0.589154056,0.68425893,0.74150882,0.767327979
6,17.86773558,4.501930122,1.536483621,1.447549257,0.509768626,0.427121073,0.060034284,0.386489737,0.192036466,0.543102778,0.708455343,0.839557273,0.880706907
6.5,18.74126853,6.75641737,1.961574649,1.648080142,0.610224994,0.522780721,0.043292491,0.340594151,0.207361409,0.489420247,0.692511482,0.902596516,0.964635711
7,18.86407792,9.393168738,2.629676792,1.977225432,0.70742928,0.615641048,0.036502984,0.296574739,0.233748569,0.440437848,0.643157688,0.917307026,1.00173645
7.5,18.2308236,12.1979511,3.592893946,2.476952537,0.808489587,0.709825964,0.03719937,0.261554995,0.268069464,0.40549618,0.574275405,0.881309955,0.984445806
8,16.91090416,14.92202452,4.880550729,3.187466204,0.926309375,0.815302923,0.043745618,0.239606387,0.304884997,0.389835096,0.501555646,0.8031104,0.916672503
8.5,15.02961352,17.32375242,6.481551177,4.138053347,1.07817905,0.946813055,0.054732086,0.232032981,0.337217594,0.395034543,0.437868132,0.698520615,0.811729461
9,12.75570381,19.20499671,8.336666259,5.337365658,1.284794792,1.122956705,0.068519032,0.238069033,0.35853922,0.419844743,0.391214882,0.585629426,0.687975932
9.5,10.28950982,20.43517253,10.3440832,6.766602847,1.569551413,1.365559852,0.083731361,0.255145285,0.365104368,0.460614311,0.365135123,0.480233835,0.563834354
10,7.84296964,20.95597331,12.37416603,8.377343949,1.957300309,1.698745159,0.100365242,0.278628355,0.357333374,0.511463631,0.360281675,0.393069853,0.453777449
10.5,5.611567218,20.77003318,14.28771083,10.09466075,2.472083788,2.147178571,0.120730819,0.301728553,0.339548927,0.564824063,0.375938812,0.329410409,0.36649063
11,3.745166608,19.9260235,15.95514686,11.82634724,3.134296792,2.733640769,0.149990525,0.31646126,0.318413181,0.612670365,0.410935802,0.290604157,0.305424066
11.5,2.325211766,18.5089333,17.27504519,13.47746357,3.958287447,3.476619491,0.196705544,0.315905759,0.301036142,0.648121388,0.464006331,0.276425369,0.270893868
12,1.355062407,16.63356347,18.18675251,14.96520267,4.950826102,4.388306517,0.273776502,0.296921792,0.293652741,0.666678874,0.533770462,0.287097003,0.262515305
12.5,0.769926238,14.43557473,18.6712585,16.22711585,6.1097259,5.472547027,0.399482548,0.26181735,0.301232655,0.666565468,0.618320269,0.324296146,0.281021823
13,0.467913271,12.06013069,18.74091159,17.22015518,7.421739148,6.722176954,0.597648764,0.217846848,0.327773963,0.6482673,0.714328191,0.390861008,0.32888798
13.5,0.352193538,9.65255286,18.42585296,17.91507743,8.860274669,8.116314823,0.895968686,0.174661563,0.376686846,0.61387979,0.815900911,0.489219603,0.409450662
14,0.364124338,7.352218675,17.76508816,18.29268705,10.38467108,9.61921152,1.322293132,0.141150371,0.450772628,0.566783761,0.913828131,0.618967032,0.524653732
14.5,0.489657879,5.285452938,16.80333233,18.34401347,11.94201595,11.18158038,1.899692621,0.123738816,0.551671829,0.511676385,0.995996528,0.774509958,0.672203647
15,0.73795003,3.553198362,15.58985655,18.07169846,13.47065388,12.74365811,2.641597192,0.127642161,0.678961165,0.454546062,1.049343995,0.943913944,0.843428018
15.5,1.109126237,2.215095098,14.17661334,17.49001951,14.90406898,14.23890394,3.548250574,0.160769935,0.829209837,0.402207669,1.063027578,1.109789442,1.023067569
16,1.572659378,1.277188606,12.61650019,16.62425268,16.17566791,15.59884802,4.605519267,0.237911389,0.995360023,0.361448153,1.031822644,1.252351008,1.191566232
16.5,2.06729654,0.691808109,10.96343836,15.51104328,17.22590901,16.76053212,5.786854466,0.382176325,1.166773985,0.338286201,0.958429583,1.353888767,1.329373127
17,2.51870291,0.374237223,9.273628841,14.19907203,18.01122489,17.67584521,7.058208893,0.622226179,1.330087121,0.337863633,0.853498875,1.403069097,1.421681155
17.5,2.862343076,0.232821027,7.605716446,12.74721982,18.5108925,18.31884347,8.384117273,0.986408898,1.470674971,0.364935143,0.732994921,1.397262598,1.46156279
18,3.059720194,0.200124954,6.018529947,11.21883175,18.72788568,18.68704745,9.73235629,1.496475578,1.574376853,0.42423021,0.613847862,1.341980662,1.450236538
18.5,3.102763743,0.249239559,4.567103584,9.674122013,18.68339018,18.79636558,11.07560926,2.163280621,1.629268869,0.519839545,0.509832025,1.248059186,1.394809137
19,3.008214095,0.386825109,3.298336483,8.164291587,18.40838962,18.6730262,12.39050051,2.985466729,1.627452725,0.653535685,0.429423364,1.128244275,1.305067168
19.5,2.807312995,0.629247005,2.246661973,6.72939945,17.93615955,18.34617853,13.65538434,3.950687853,1.566722578,0.822973743,0.376117182,0.994641807,1.190901863
20,2.535712744,0.977897368,1.429510178,5.39946582,17.29706364,17.84266151,14.8477792,5.038059117,1.451658865,1.021042999,0.350381185,0.857565302,1.061115722
20.5,2.226325769,1.407157813,0.843287503,4.197028398,16.51551265,17.18381193,15.94198606,6.220518462,1.293601633,1.236929248,0.351943092,0.725500094,0.923514075
21,1.905790006,1.868202133,0.462215245,3.139637101,15.60936305,16.38470179,16.90795445,7.466672208,1.10923378,1.458348373,0.381462078,0.605568904,0.785686299
