,Focal depths wrt exit plane (mm),,,,,,,,,,,,
21.5,1.593896803,2.303099006,0.242762886,2.241238934,14.59260574,15.45676929,17.71328675,8.742860256,0.917963795,1.673837273,0.441258805,0.503918367,0.655671657
22,1.304670507,2.660815184,0.134473836,1.511573232,13.48080967,14.41343535,18.3293042,10.01645537,0.738668571,1.874176743,0.535177721,0.425741686,0.541814907
22.5,1.047752515,2.908555866,0.094201894,0.953314031,12.29638023,13.275777,18.73900615,11.26011391,0.586624229,2.052589915,0.667714085,0.37514471,0.451716324
23,0.829257052,3.03553417,0.097309849,0.558199673,11.07011566,12.07446042,18.94202186,12.45479564,0.471626733,2.203842452,0.842442907,0.355408756,0.391054335
23.5,0.65201838,3.049779623,0.139546542,0.304881188,9.837787841,10.84636298,18.95284125,13.58899989,0.398154376,2.322767512,1.059836232,0.369890508,0.363401984
24,0.515703546,2.970950464,0.228594986,0.161235332,8.633808491,9.627978825,18.7930633,14.65392341,0.367739941,2.403055939,1.314934929,0.422876898,0.371346496
24.5,0.417295348,2.822732705,0.370986854,0.091778082,7.485713428,8.449497254,18.48266057,15.63737782,0.38266625,2.437240987,1.595888223,0.519177493,0.41785371
25,0.352087355,2.627361125,0.562348149,0.06745369,6.411891486,7.332214588,18.03545279,16.52062938,0.449293995,2.418352965,1.884549582,0.662013656,0.506367988
25.5,0.314903163,2.403033817,0.785488986,0.072688985,5.42252235,6.289318062,17.46060294,17.28050499,0.579349417,2.342781261,2.159655246,0.850369602,0.639261063
26,0.301069375,2.163568413,1.015476744,0.105557314,4.522096596,5.328308314,16.767837,17.89565774,0.788411727,2.21297927,2.401749958,1.077797611,0.815862957
26.5,0.306811303,1.919153502,1.227486396,0.171268419,3.711815885,4.453214013,15.9722772,18.35335648,1.092146855,2.038485411,2.597848084,1.333771122,1.031756126
27,0.329055498,1.677274093,1.403126381,0.27351162,2.99109831,3.665775569,15.095757,18.65290127,1.501780993,1.834545077,2.743722679,1.606818532,1.279895846
27.5,0.364889742,1.443408709,1.533021317,0.408725598,2.358276081,2.965810818,14.16414821,18.80393083,2.020487925,1.618891919,2.842868572,1.887433054,1.552585459
28,0.411021289,1.221514532,1.615868378,0.565429107,1.810942738,2.35137368,13.20250711,18.82085985,2.641867275,1.408151099,2.902829132,2.169080258,1.842772776
28.5,0.463505204,1.014473882,1.655621296,0.727468099,1.346277651,1.81920123,12.23091871,18.716881,3.350983918,1.215302012,2.930742852,2.447035481,2.143863876
29,0.517865266,0.824573178,1.658567226,0.878600689,0.961333005,1.365507045,11.26305323,18.50087929,4.127703552,1.048883572,2.930065366,2.716124262,2.448440551
29.5,0.569567334,0.653913364,1.631330254,1.006228318,0.652991025,0.986770186,10.30768763,18.17847957,4.951344029,0.913717485,2.899612552,2.968858992,2.746960421
30,0.614669414,0.504552037,1.579969157,1.103238095,0.417303184,0.679963763,9.371606555,17.7555674,5.805040002,0.812389303,2.834956955,3.194977441,3.027387916
30.5,0.650393117,0.378265643,1.509791007,1.167956402,0.248310979,0.441900267,8.461842847,17.24129062,6.678154702,0.746759055,2.731291814,3.382545236,3.276083347
31,0.675392806,0.276033903,1.425416162,1.20280815,0.13698991,0.267901606,7.586131806,16.64840147,7.565792587,0.719140168,2.586520587,3.520161607,3.479739248
31.5,0.689647201,0.197528555,1.330836611,1.212470551,0.071227547,0.150500089,6.752013901,15.99125292,8.465791502,0.733101489,2.403476759,3.599550568,3.627851199
32,0.694077148,0.140912248,1.229441165,1.202212455,0.037417943,0.079058495,5.96574445,15.28343272,9.374814349,0.793856114,2.19059131,3.617752479,3.715023527
32.5,0.690083248,0.103120762,1.124065607,1.176808354,0.023362293,0.040922036,5.231828748,14.53679656,10.28550842,0.908010311,1.960818787,3.578116779,3.742274787
33,0.679154151,0.080576386,1.017087343,1.140080561,0.02114832,0.023982707,4.553209629,13.76213025,11.1860303,1.082411833,1.729177427,3.489560668,3.716650793
33.5,0.66259033,0.070060028,0.910520451,1.094880524,0.028324953,0.019593941,3.931650703,12.97041327,12.06201836,1.32223497,1.509785747,3.364181391,3.64907943
34,0.641324076,0.069368532,0.806057742,1.043253336,0.046574617,0.024231854,3.36787763,12.17328502,12.89983264,1.629051915,1.313475128,3.214048047,3.551165647
34.5,0.615820958,0.077467003,0.705047966,0.986606543,0.078708141,0.038825492,2.861375282,11.38205288,13.68921331,1.999897409,1.146743636,3.048313879,3.432040476
35,0.586080412,0.094085729,0.608465817,0.925831629,0.125775131,0.066134989,2.410092805,10.60568942,14.42390674,2.427915769,1.012169881,2.871631262,3.296306066
35.5,0.551778769,0.118983475,0.516963325,0.861436675,0.185679075,0.107767685,2.010456907,9.849179898,15.1003827,2.904383236,0.909822187,2.684354326,3.143739214
36,0.51256326,0.151254587,0.431043204,0.793767537,0.253549563,0.162403906,1.657892,9.113607706,15.71628471,3.421306676,0.838975076,2.484500565,2.970966862
36.5,0.468435875,0.189015883,0.351295705,0.72331385,0.323231046,0.225812075,1.347692241,8.398212496,16.27030437,3.973608421,0.799555848,2.270778293,2.774620637
37,0.420080409,0.229597493,0.278568725,0.650976991,0.38897749,0.292189496,1.075845213,7.703154026,16.76323004,4.559956561,0.79300234,2.045390079,2.554686287
37.5,0.368971102,0.270101495,0.21394863,0.578138348,0.446646609,0.355877151,0.839437563,7.031100598,17.19806213,5.181549747,0.822446216,1.81517901,2.316399449
38,0.3171927,0.30803736,0.158537031,0.506474731,0.494105383,0.412627871,0.636568175,6.386691667,17.57754291,5.838972247,0.892242494,1.590488947,2.069702412
38.5,0.267046555,0.34177371,0.113120104,0.437633717,0.530969704,0.460095444,0.465965601,5.774717667,17.90052778,6.528483108,1.006902336,1.382442547,1.826716798
39,0.220615129,0.370701912,0.077877407,0.372959486,0.558036086,0.497683098,0.326551965,5.198627087,18.16072034,7.239997256,1.169615912,1.200173326,1.598719197
39.5,0.179438869,0.395144622,0.052244572,0.313379223,0.576734179,0.526082166,0.217034427,4.660294822,18.34992491,7.958445119,1.380869525,1.04926652,1.394021998
40,0.144367507,0.416083188,0.034982582,0.259428097,0.588729263,0.546751254,0.13548279,4.160559447,18.4638131,8.668142175,1.63789782,0.931706631,1.217278548
40.5,0.11557141,0.434767339,0.02445,0.211330676,0.595630373,0.561426192,0.078922175,3.69954262,18.5056782,9.357682708,1.935442175,0.846880662,1.069965671
41,0.092671242,0.452284508,0.019011384,0.169089259,0.598743648,0.571689281,0.043148654,3.276443245,18.48539826,10.02263676,2.267586767,0.792999093,0.951538213
41.5,0.074938947,0.469201049,0.017442911,0.132572754,0.598896654,0.578659531,0.023033499,2.889302369,18.41503538,10.66519455,2.629867582,0.768471639,0.860795303
42,0.061513557,0.485387335,0.019163122,0.101599166,0.596407441,0.582880064,0.013403705,2.535305243,18.30486338,11.29189413,3.020767016,0.772966971,0.797073499
42.5,0.051577101,0.500072907,0.02417865,0.075980522,0.591216437,0.584410958,0.010232822,2.211570852,18.16204205,11.91085647,3.441987958,0.807988673,0.760975264
43,0.044460475,0.512082623,0.032777006,0.055503632,0.583105611,0.583040957,0.011555907,1.91589121,17.99117474,12.52898945,3.897231875,0.876833997,0.754513974
43.5,0.03968039,0.520150202,0.045129475,0.039861032,0.571893227,0.578500933,0.017526941,1.646971769,17.79474395,13.14905498,4.389679089,0.983853265,0.780750949
44,0.036930106,0.523206137,0.060997588,0.028587089,0.557541917,0.570605057,0.029509122,1.404146427,17.57269309,13.76709052,4.918997523,1.133065892,0.843063138
44.5,0.036049634,0.520578094,0.07965748,0.021059745,0.540181929,0.559314385,0.04872052,1.186855802,17.32201811,14.3714748,5.479184159,1.326442,0.944142412
45,0.036990768,0.512080921,0.100034597,0.016591111,0.520088224,0.544749289,0.075203227,0.994202716,17.03749814,14.94476673,6.058469711,1.562490749,1.084900916
45.5,0.039778846,0.498005414,0.120954052,0.014573747,0.497647639,0.52718231,0.107577675,0.824750573,16.71393317,15.4683239,6.641784827,1.835957191,1.263726773
46,0.044466318,0.479037988,0.141391825,0.014608687,0.473337542,0.507030856,0.143522354,0.676589953,16.34927723,15.92847125,7.215188103,2.139132709,1.47667872
46.5,0.051076283,0.456144456,0.160642554,0.016545592,0.447714873,0.484848732,0.180573751,0.547592797,15.94731204,16.32192554,7.770591949,2.464481974,1.71885281
47,0.059541398,0.430432871,0.178364513,0.020413431,0.421387041,0.461288747,0.216803023,0.435724177,15.51810811,16.65766725,8.308536337,2.807392696,1.98637409
47.5,0.069649054,0.403003477,0.194507709,0.026278838,0.394939027,0.437008252,0.251109307,0.339290135,15.07519761,16.95340486,8.837238568,3.167551886,2.277883076
48,0.081008654,0.374817258,0.209174804,0.034101878,0.368832568,0.41254461,0.283121974,0.257054016,14.63052061,17.22779646,9.368069297,3.54815679,2.594593734
48.5,0.093063574,0.346638489,0.222494579,0.043654151,0.343347691,0.388237697,0.312894504,0.188217493,14.19034301,17.49269063,9.909838563,3.9534838,2.938922833
49,0.105167716,0.319076246,0.234572925,0.054532031,0.318616852,0.364260119,0.340612937,0.13227508,13.75495498,17.74993686,10.46501832,4.386208213,3.312544972
49.5,0.116718887,0.29266979,0.245522478,0.066251783,0.29472195,0.340724316,0.366439518,0.088744721,13.32172051,17.99357178,11.02929523,4.845639814,3.714820602
50,0.127300912,0.267919908,0.255505583,0.078372502,0.271762119,0.317760861,0.390463054,0.056829107,12.8881699,18.21389685,11.59319554,5.327107153,4.141965452
50.5,0.136774294,0.24522323,0.264725766,0.090584585,0.24983531,0.295500103,0.412671261,0.03515845,12.45246567,18.39969914,12.14382742,5.822185823,4.586943982
51,0.145290498,0.224769349,0.273371497,0.102736123,0.228973623,0.274000012,0.432927082,0.021797793,12.0121824,18.53899851,12.66670176,6.319972294,5.040382678
51.5,0.153252184,0.206496705,0.281577069,0.114816219,0.209119802,0.253218971,0.451012932,0.014586835,11.56458252,18.62197198,13.14949656,6.810086775,5.493102971
52,0.161250199,0.190141509,0.289441526,0.126925686,0.190177568,0.233073838,0.466773061,0.011679274,11.10952321,18.64717128,13.58796651,7.287111559,5.939994967
52.5,0.169975121,0.175327905,0.297059919,0.139235987,0.172082669,0.213521669,0.480251746,0.012006388,10.65210193,18.62626648,13.99024294,7.753964087,6.383100207
53,0.180083133,0.161631559,0.304483708,0.151911982,0.154823914,0.194581946,0.491671633,0.015410343,10.20144208,18.58106355,14.37455257,8.221045388,6.831139553
53.5,0.192026669,0.148605489,0.311604593,0.164999688,0.138409021,0.176292049,0.501230723,0.022370269,9.765785945,18.53287103,14.76012415,8.700738563,7.294943111
54,0.205913024,0.13581531,0.318064335,0.17833351,0.122832731,0.158666512,0.5088939,0.033471564,9.3480911,18.49193245,15.15732415,9.200712846,7.78158211
54.5,0.221462497,0.122922077,0.323303843,0.191531824,0.10809186,0.141715189,0.514380935,0.0489017,8.945797415,18.454818,15.56386853,9.720444718,8.29099343
55,0.23807909,0.109784729,0.32674363,0.204091218,0.094228784,0.125498533,0.51735626,0.068210201,8.554156288,18.40991896,15.96822185,10.25222146,8.816384825
55.5,0.254970475,0.096509859,0.327961946,0.215512689,0.081350586,0.110153794,0.517632863,0.090389733,8.169413731,18.34429598,16.35517096,10.78406061,9.346547592
56,0.271244057,0.083406928,0.326754008,0.225380694,0.069599831,0.095862673,0.515223942,0.114160531,7.789370473,18.24643881,16.70893437,11.30183223,9.867837296
56.5,0.285980462,0.07087811,0.323091694,0.233388828,0.059104712,0.08279356,0.510282156,0.138292541,7.412492868,18.10643408,17.01466451,11.79105925,10.36611918
57,0.298346201,0.059308218,0.317090905,0.239366774,0.049946741,0.071066527,0.503081516,0.161860681,7.038112761,17.91848421,17.26234943,12.24077129,10.83059836
57.5,0.307757841,0.048995005,0.309032501,0.243331374,0.042155141,0.060750423,0.494082981,0.184389042,6.6680344,17.68627812,17.45318841,12.64913273,11.25907748
58,0.313999977,0.04011861,0.299366695,0.245506961,0.035711183,0.051867676,0.483945694,0.205850684,6.307251832,17.42535163,17.60251522,13.02632602,11.66060712
58.5,0.317189039,0.032735008,0.28862646,0.246254556,0.030550265,0.044389592,0.473360778,0.226510478,5.962020177,17.15750179,17.73409492,13.39052696,12.05184608
59,0.317608172,0.026788717,0.277285692,0.245938468,0.026566483,0.038231426,0.462785354,0.24667719,5.636488595,16.90013675,17.8684219,13.75875176,12.44866342
59.5,0.315563278,0.022144937,0.265677408,0.244832677,0.023627909,0.033263648,0.452290799,0.266498548,5.330780598,16.65886577,18.01370671,14.13914139,12.8589076
60,0.311372164,0.018632634,0.254026595,0.243129386,0.021599689,0.029338942,0.441641856,0.285901949,5.041858674,16.42825619,18.16538572,14.52954054,13.28077364
60.5,0.305442206,0.016083617,0.242533646,0.241004896,0.020363893,0.026318977,0.430508657,0.304662264,4.76582254,16.19781933,18.31172384,14.92101514,13.70579011
61,0.298312338,0.014357867,0.231408478,0.238651714,0.019827999,0.024087641,0.418625857,0.322493933,4.499469827,15.95695322,18.43906757,15.3015731,14.12219962
61.5,0.29060608,0.013355579,0.220830898,0.236247493,0.019922913,0.022551422,0.405830808,0.33910415,4.240522255,15.69644514,18.53398777,15.65798564,14.5168511
62,0.282952841,0.013021588,0.210900474,0.233913071,0.020596962,0.02163585,0.392062439,0.3542424,3.987564446,15.40951101,18.58542442,15.97816597,14.87769045
62.5,0.275942858,0.013346338,0.201631042,0.231713106,0.021810896,0.021284104,0.377405914,0.367796048,3.740562187,15.09513109,18.58970377,16.25628284,15.19876161
63,0.270098899,0.014362688,0.192974599,0.2296821,0.023533511,0.021455895,0.362138649,0.379884045,3.50139538,14.76133032,18.55545817,16.49783575,15.48504868
63.5,0.265803079,0.016133923,0.18482454,0.227816703,0.025733625,0.02212143,0.346674945,0.390833451,3.273304133,14.42371163,18.50228152,16.71906498,15.75198119
64,0.263170833,0.01872843,0.17698964,0.226018234,0.028366658,0.023249045,0.331397605,0.401002478,3.059200457,14.0983777,18.45176927,16.93915981,16.01808256
64.5,0.261950383,0.022181935,0.169187694,0.224044404,0.031361203,0.024791636,0.316497921,0.410567224,2.86009444,13.79418066,18.41701138,17.17056104,16.29559524
65,0.261537966,0.026456918,0.161105952,0.221543353,0.03461516,0.026679678,0.301946943,0.419435016,2.674792937,13.50988496,18.39803964,17.41417284,16.58569241
65.5,0.261122836,0.031414569,0.152512838,0.218171523,0.038006012,0.02882451,0.287597031,0.427325862,2.50083802,13.23707216,18.38472009,17.66129709,16.8800636
66,0.259893448,0.036812203,0.143351028,0.213720307,0.041410089,0.031129003,0.273311727,0.43392153,2.335697547,12.9650209,18.36260131,17.89845357,17.16543397
66.5,0.257223427,0.042331195,0.133757865,0.208177673,0.044721344,0.033500158,0.259037725,0.438970605,2.177459676,12.68407968,18.31723376,18.11108169,17.42726056
67,0.252804201,0.047634317,0.124017265,0.201718554,0.047865844,0.035862022,0.24482083,0.442342967,2.025059013,12.38749125,18.23694429,18.28625868,17.65259028
67.5,0.246722395,0.052443386,0.114483916,0.194663613,0.050814471,0.038170274,0.230808127,0.444088085,1.878407195,12.07337614,18.11636428,18.41661944,17.83402795
68,0.23945836,0.056613216,0.105507646,0.187427759,0.053592665,0.040425621,0.217243265,0.444496359,1.738442328,11.74664028,17.96022942,18.5048215,17.9741042
68.5,0.231766041,0.060166904,0.097364017,0.180444205,0.056278105,0.042676426,0.204419351,0.444077942,1.6067916,11.41837622,17.7835195,18.56439031,18.08606396
69,0.224442016,0.063270598,0.090196139,0.174060385,0.058978419,0.045003013,0.192580249,0.443407765,1.484972077,11.10156341,17.60569522,18.61432849,18.18858098
69.5,0.218069885,0.066159314,0.083986414,0.168443317,0.061794743,0.047488071,0.181819492,0.442905016,1.373557818,10.80531126,17.44199276,18.67032398,18.29713062
70,0.21284832,0.069050603,0.078574113,0.163545022,0.064788194,0.050186923,0.17204347,0.442691674,1.271839053,10.53136356,17.29757009,18.73849823,18.41776262
70.5,0.208553459,0.072078554,0.073713201,0.15914372,0.067962116,0.053108921,0.163017398,0.442601372,1.178113213,10.27459042,17.16738117,18.81493355,18.54644898
71,0.204613711,0.075259101,0.069144403,0.154928808,0.071259659,0.05621101,0.154455287,0.442291295,1.090308978,10.0260043,17.03995907,18.88909313,18.67238488
71.5,0.200250311,0.078484902,0.064654836,0.150586003,0.074570485,0.059400031,0.146103346,0.441362452,1.006574923,9.775962252,16.90164643,18.94769206,18.78184983
72,0.194656372,0.081551562,0.060112777,0.145862169,0.077747459,0.062545313,0.137794974,0.439452985,0.925679526,9.516651359,16.74014245,18.97804784,18.86170072
72.5,0.18720202,0.084221125,0.055478476,0.140612632,0.080639523,0.065507185,0.129481464,0.436329608,0.847238049,9.244317605,16.54829147,18.97208856,18.90353168
73,0.17762826,0.086313825,0.05079385,0.134830616,0.083138,0.068178567,0.12123893,0.431980669,0.771743635,8.961051804,16.32779128,18.93079163,18.90817568
73.5,0.16615711,0.08779422,0.046152733,0.128640726,0.085216265,0.070521867,0.113239032,0.426651311,0.70031211,8.674725675,16.09017749,18.86585748,18.88745305
74,0.153455475,0.088810059,0.041658214,0.122246628,0.086939734,0.072580411,0.105680974,0.420760135,0.634160623,8.396126495,15.85281543,18.79585963,18.86034828
74.5,0.140463197,0.089668014,0.037382955,0.115853795,0.088441908,0.074460417,0.098710544,0.414725431,0.574042202,8.134399206,15.63148449,18.73823192,18.8449736
75,0.128168061,0.090765816,0.033349107,0.109608067,0.089883929,0.076297985,0.092365532,0.408804975,0.519922774,7.893427196,15.43397204,18.70206136,18.85118275
75.5,0.117417482,0.092513905,0.029533567,0.103575725,0.091418242,0.07822795,0.086569011,0.40303443,0.471026826,7.670974224,15.25810281,18.68563001,18.87789514
76,0.108810439,0.095266403,0.025890493,0.097758353,0.093162167,0.080359175,0.081162561,0.397261429,0.42615769,7.460370367,15.09401731,18.67866696,18.91516206
76.5,0.102666229,0.099265519,0.022377876,0.092120089,0.095176876,0.082752412,0.075957392,0.391223262,0.384103167,7.253256463,14.92829473,18.66659162,18.94834913
77,0.099046457,0.104602304,0.018978558,0.086612765,0.097451015,0.085401685,0.070786589,0.384631053,0.343978695,7.042212166,14.74806751,18.6347721,18.96242087
77.5,0.097804179,0.111201987,0.015711529,0.081196816,0.09989791,0.088228558,0.06554956,0.377261763,0.305428711,6.822916656,14.54474375,18.57264946,18.94619023
78,0.098635971,0.118837816,0.012631794,0.075857615,0.102373915,0.09109733,0.060240132,0.369048784,0.268650312,6.595559115,14.31706721,18.4775702,18.89627174
78.5,0.101120079,0.127163194,0.009818602,0.070611752,0.104713255,0.093847079,0.05494676,0.360129034,0.234232196,6.364872438,14.07208238,18.35645957,18.81895035
79,0.104735768,0.135743796,0.007354879,0.065499384,0.106763209,0.096325684,0.049820235,0.350800988,0.20286405,6.138336932,13.82259902,18.22338808,18.72789117
79.5,0.108873735,0.144080277,0.005304444,0.060568773,0.108407412,0.098414022,0.045020741,0.341404508,0.175035901,5.92311247,13.58180679,18.09344714,18.63806318
80,0.112858837,0.151631818,0.003694731,0.055865437,0.109577464,0.100039712,0.04066805,0.33219348,0.150851344,5.723234028,13.35784353,17.97629034,18.55920127
80.5,0.116005579,0.157857595,0.002510504,0.051433144,0.110259938,0.101185776,0.036814735,0.32327256,0.130009078,5.538384369,13.15112723,17.87277074,18.49232792
81,0.117709809,0.162280094,0.001699621,0.047322517,0.110500391,0.101894839,0.033447672,0.314616943,0.111922618,5.364542707,12.95518459,17.77573187,18.43041614
81.5,0.117556044,0.16455635,0.001187916,0.043596716,0.110399822,0.102264248,0.030509429,0.306140233,0.095905818,5.195850956,12.75981772,17.6735041,18.361805
82,0.115407009,0.164539692,0.000897516,0.040326718,0.110100518,0.102430731,0.027926978,0.297765135,0.081357765,5.026799151,12.55493674,17.55417472,18.27446541
82.5,0.11144582,0.162321424,0.000761594,0.03757692,0.109767038,0.102550833,0.025637058,0.289470786,0.067900715,4.854092914,12.33405968,17.40963671,18.16012031
83,0.106155467,0.158244859,0.000729522,0.03538687,0.109568935,0.102784029,0.023601914,0.281311088,0.055438251,4.677779811,12.09680036,17.2387678,18.01755628
83.5,0.100233915,0.152878924,0.000761703,0.033754787,0.109665962,0.103279163,0.021812354,0.273402006,0.044116471,4.501260656,11.84950887,17.04867847,17.85396624
84,0.094461363,0.146941557,0.000820964,0.032625949,0.110189608,0.104158803,0.02027888,0.265875594,0.034202641,4.330022139,11.60336903,16.85284408,17.68316819
84.5,0.08955519,0.141182184,0.000870519,0.031887496,0.111217533,0.105498054,0.01901576,0.2588125,0.025933274,4.169486767,11.37032581,16.66636597,17.52078289
85,0.086053724,0.136253393,0.000882241,0.031372323,0.112745566,0.107300558,0.018025008,0.252182464,0.019398724,4.022857302,11.15855166,16.50039136,17.37848989
