0,8.877576322
2,4.122993524
4,2.320643248
6,1.966073829
8,1.273751184
10,3.114355309
12,12.23675
14,16.53733312
16,10.66256932
18,6.24367182
20,8.838552956
22,9.52608798
24,7.144662642
26,3.807996891
28,1.611728532
30,0.530957863
32,0.36121951
34,1.011891917
36,2.181939571
38,4.062597134
40,5.216071143
42,5.716159612
44,5.484649243
46,4.28734294
48,3.213983527
50,2.840499087
52,3.683979616
54,5.735466871
56,8.841551702
58,12.55395962
60,16.58658799
62,20.64801393
64,24.13244057
66,26.9065166
68,28.96383532
70,30.05223625
72,30.52218559
74,30.31821664
76,29.57861873
78,28.52044889
80,27.10918835
82,25.47855193
84,23.88863019
86,22.1691042
88,20.41646064
90,18.84090156
92,17.34259945
94,15.86348839
96,14.47074981
98,13.25925216
100,12.22969475
102,11.09120074
104,10.20712367
106,9.439331869
108,8.667871315
110,8.00863475
112,7.463747385
114,6.937878041
116,6.463485078
118,6.099186906
120,5.729671276
