,Focal depths wrt exit plane (mm),,,,,,,,,,,,
Distance WRT Exit plane (mm),7.19,10,12.97,15,18.74,20,25,30,45,60,75,90,96.01
16.5,0.516697501,3.169253204,13.55539313,17.03280717,17.05539366,15.37969886,4.731930096,0.292397333,1.040336996,0.507944661,1.476916881,1.860998729,1.788541865
17,0.696903746,2.041237812,11.95969019,16.14395356,17.8248288,16.56630773,5.981840563,0.451010376,1.221699245,0.465548663,1.371415477,1.966999183,1.960841435
17.5,0.905743706,1.21850273,10.32167739,15.03341755,18.29285795,17.50365842,7.309322453,0.712189902,1.394289159,0.45530484,1.240980574,2.025134828,2.09963078
18,1.111622928,0.673919698,8.692568771,13.75372714,18.45440659,18.16767809,8.671249649,1.103368502,1.541831468,0.480713142,1.101621886,2.032553938,2.195136098
18.5,1.282435903,0.35359983,7.121311803,12.36473047,18.32788139,18.55793622,10.03204399,1.64434662,1.650125484,0.545310349,0.968921026,1.992761125,2.243390074
19,1.394557468,0.190815774,5.652770103,10.92720921,17.95026418,18.6942287,11.36660701,2.343491922,1.709156473,0.652329025,0.855351452,1.913781794,2.245436751
19.5,1.437677227,0.125199405,4.32582102,9.496007107,17.36820104,18.60848678,12.65866037,3.197038216,1.714288317,0.803143367,0.769147175,1.80586242,2.205614331
20,1.414379709,0.118759829,3.17141918,8.114462866,16.62726547,18.33391244,13.89479652,4.190173926,1.666426426,0.995346735,0.714697707,1.679479248,2.129713821
20.5,1.336186269,0.16014305,2.21059475,6.811898421,15.76311427,17.89530895,15.05690647,5.298532339,1.571432361,1.221568507,0.69386594,1.54418316,2.023792483
21,1.218753557,0.255029886,1.452486951,5.605161933,14.79844862,17.30521006,16.11740824,6.490027083,1.439262487,1.469762517,0.707491028,1.408467594,1.894170599
21.5,1.078178557,0.409517172,0.892573074,4.503417255,13.74713019,16.56793151,17.04110058,7.728089452,1.283058154,1.72498531,0.756536228,1.280361206,1.748432179
22,0.928941399,0.617121298,0.511768033,3.513593697,12.62242574,15.68885749,17.7934758,8.976796147,1.11797677,1.971968047,0.842615372,1.168014664,1.5964325
22.5,0.783014977,0.855930941,0.277947277,2.643707715,11.44392838,14.68291219,18.35084051,10.20643613,0.959504378,2.197374531,0.967800568,1.079665941,1.450187465
23,0.649505084,1.094997329,0.15146923,1.902850983,10.2393017,13.57738949,18.70619502,11.39675984,0.821465965,2.390835806,1.133679658,1.022992835,1.322372993
23.5,0.534520924,1.30428459,0.094334189,1.29848046,9.040910966,12.40858611,18.86812751,12.53606659,0.714507241,2.544603588,1.339764726,1.004375097,1.224253191
24,0.441282188,1.462516223,0.079511981,0.832585396,7.880221664,11.21523551,18.85446809,13.61671941,0.645823432,2.65250323,1.58164934,1.028457733,1.164175187
24.5,0.370532746,1.560231704,0.095435283,0.49841313,6.782900535,10.03219667,18.68452516,14.62945563,0.620330755,2.709157852,1.849629883,1.097864144,1.147127066
25,0.321236666,1.598482435,0.142914617,0.279260953,5.766133236,8.886422279,18.37333824,15.55909982,0.642703171,2.710124613,2.128593093,1.212670643,1.175022571
25.5,0.291406729,1.585241159,0.226621536,0.15042696,4.83846633,7.795901825,17.93003584,16.38392135,0.719243707,2.653004752,2.399671542,1.369653522,1.247120359
26,0.278849649,1.531655621,0.346660288,0.084344238,4.001785363,6.771304011,17.36103079,17.07992948,0.8586434,2.539092171,2.643576234,1.561938022,1.360357663
26.5,0.2816427,1.449337128,0.494833122,0.057267545,3.25431341,5.819031401,16.67635158,17.62895387,1.071247485,2.374742568,2.84470071,1.779779618,1.509831726
27,0.298265099,1.348798372,0.656391873,0.054556981,2.593240782,4.943695719,15.89473964,18.02612913,1.367113935,2.171515187,2.994347117,2.012452026,1.689602045
27.5,0.327422067,1.238608099,0.814757251,0.071851605,2.01605528,4.148671235,15.04305888,18.28112764,1.753510275,1.944596799,3.091420139,2.250202641,1.893486311
28,0.367675858,1.124953056,0.955925827,0.111621335,1.520662801,3.435119599,14.14978943,18.41150008,2.232561296,1.71004691,3.140200715,2.485078928,2.115297437
28.5,0.41705002,1.011647356,1.07073306,0.177318054,1.105036661,2.801163518,13.23743675,18.43289399,2.799849,1.482189859,3.146633888,2.710430024,2.348452553
29,0.472804578,0.900686063,1.155029103,0.268482642,0.766885805,2.242491503,12.31942308,18.35352223,3.444835515,1.272261453,3.115345406,2.920004046,2.585541457
